age,workclass,fnlwgt,education,educationNum,maritalStatus,relationship,race,sex,capitalGain,capitalLoss,hoursPerWeek,country,earnings
38,1,155222,11,10,2,0,2,0,0,0,28,1,0
24,1,159567,11,10,1,1,1,1,0,0,40,1,0
41,5,523910,13,13,1,1,2,1,0,0,40,1,0
47,1,120939,11,10,1,1,1,1,0,0,45,1,0
41,4,130760,13,13,1,1,1,1,0,0,24,1,0
23,1,197387,2,3,1,5,1,1,0,0,40,4,0
36,1,99374,11,10,2,0,1,1,0,0,40,1,0
40,4,56795,14,14,0,0,1,0,14084,0,55,1,1
35,1,138992,14,14,1,5,1,1,7298,0,40,1,1
24,2,32921,10,9,0,0,1,1,0,0,40,1,0
26,1,397317,14,14,0,0,1,0,0,1876,40,1,0
19,0,170653,10,9,0,3,1,1,0,0,40,30,0
51,1,259323,13,13,1,1,1,1,0,0,50,1,1
42,5,254817,11,10,0,0,1,0,0,1340,40,1,0
37,3,48211,10,9,2,4,1,0,0,0,35,1,0
18,1,140164,6,7,0,3,1,0,0,0,40,1,0
36,1,128757,13,13,1,1,2,1,7298,0,36,1,1
35,1,36270,10,9,2,0,1,1,0,0,60,1,0
58,6,210563,10,9,1,2,1,0,15024,0,35,1,1
17,1,65368,6,7,0,3,1,0,0,0,12,1,0
44,5,160943,10,9,1,1,2,1,0,0,40,1,0
37,1,208358,10,9,1,1,1,1,0,0,40,1,1
35,1,153790,11,10,0,0,4,0,0,0,40,1,0
60,1,85815,10,9,1,1,3,1,0,0,40,1,0
54,6,125417,3,4,1,1,1,1,0,0,40,1,1
37,1,635913,13,13,0,0,2,1,0,0,60,1,1
50,1,313321,8,12,2,0,1,0,0,0,40,1,0
38,1,182609,13,13,1,1,1,1,0,0,50,9,0
45,1,109434,13,13,1,1,1,1,0,0,55,1,0
25,1,255004,5,6,0,0,1,1,0,0,40,1,0
31,1,197860,11,10,1,1,1,1,0,0,40,1,0
64,0,187656,1,2,2,0,1,1,0,0,40,1,0
90,1,51744,10,9,0,0,2,1,0,2206,40,1,0
54,1,176681,10,9,1,1,2,1,0,0,20,1,0
53,5,140359,0,1,0,0,1,0,0,0,35,1,0
18,1,243313,10,9,0,3,1,0,0,0,40,1,0
60,0,24215,5,6,2,0,4,0,0,0,10,1,0
66,2,167687,10,9,1,1,1,1,1409,0,50,1,0
75,1,314209,9,11,6,0,1,0,0,0,20,17,0
65,1,176796,10,9,2,0,1,0,0,0,40,1,0
35,1,538583,6,7,4,0,2,1,3674,0,40,1,0
41,1,130408,10,9,2,4,2,0,0,0,38,1,0
25,1,159732,11,10,0,0,1,1,0,0,42,1,0
33,1,110978,11,10,2,5,0,0,0,0,40,1,0
28,1,76714,12,15,0,0,1,1,0,0,55,1,1
59,3,268700,10,9,1,1,1,1,0,0,40,1,0
40,3,170525,11,10,0,0,1,0,0,0,38,1,0
41,1,180138,13,13,1,1,1,1,0,0,50,28,1
38,5,115076,14,14,1,1,1,1,0,0,70,1,1
23,1,115458,10,9,0,3,1,1,0,0,40,1,0
40,1,347890,13,13,1,1,1,1,0,0,40,1,1
41,2,196001,10,9,1,2,1,0,0,0,20,1,0
24,3,273905,8,12,1,1,1,1,0,0,50,1,0
20,0,119156,11,10,0,3,1,1,0,0,20,1,0
38,1,179488,11,10,2,0,1,1,0,1741,40,1,0
56,1,203580,10,9,1,1,1,1,0,0,35,0,0
58,1,236596,10,9,1,1,1,1,0,0,45,1,1
32,1,183916,10,9,0,0,1,0,0,0,34,1,0
40,1,207578,8,12,1,1,1,1,0,1977,60,1,1
45,1,153141,10,9,1,1,1,1,0,0,40,0,0
41,1,112763,12,15,1,2,1,0,0,0,40,1,1
42,1,390781,13,13,1,2,2,0,0,0,40,1,0
59,5,171328,5,6,6,4,2,0,0,0,30,1,0
19,5,27382,11,10,0,3,1,1,0,0,40,1,0
58,1,259014,11,10,0,0,1,1,0,0,20,1,0
42,2,303044,10,9,1,1,3,1,0,0,40,13,1
20,1,117789,10,9,0,3,1,0,0,0,40,1,0
32,1,172579,10,9,4,0,1,0,0,0,30,1,0
45,1,187666,9,11,6,0,1,0,0,0,45,1,0
50,1,204518,3,4,2,0,1,1,0,0,40,1,0
36,1,150042,13,13,2,3,1,0,0,0,40,1,0
45,1,98092,10,9,1,1,1,1,0,0,60,1,0
17,1,245918,6,7,0,3,1,1,0,0,12,1,0
59,1,146013,11,10,1,1,1,1,4064,0,40,1,0
26,1,378322,6,7,1,1,1,1,0,0,40,1,0
37,6,257295,11,10,1,1,3,1,0,0,75,38,1
19,0,218956,11,10,0,3,1,1,0,0,24,15,0
64,1,21174,10,9,1,1,1,1,0,0,40,1,1
33,1,185480,13,13,0,0,1,0,0,0,45,1,0
33,1,222205,10,9,1,2,1,0,0,0,40,1,1
61,1,69867,10,9,1,1,1,1,0,0,40,1,1
17,1,191260,4,5,0,3,1,1,1055,0,24,1,0
50,2,30653,14,14,1,1,1,1,2407,0,98,1,0
27,5,209109,14,14,0,3,1,1,0,0,35,1,0
30,1,70377,10,9,2,3,1,0,0,0,40,1,0
43,1,477983,10,9,1,1,2,1,0,0,40,1,0
44,1,170924,11,10,1,1,1,1,7298,0,40,1,1
35,1,190174,11,10,0,0,1,0,0,0,40,1,0
25,1,193787,11,10,0,3,1,0,0,0,40,1,0
24,1,279472,11,10,1,2,1,0,7298,0,48,1,1
22,1,34918,13,13,0,0,1,0,0,0,15,21,0
42,5,97688,11,10,1,1,1,1,5178,0,40,1,1
34,1,175413,8,12,2,4,2,0,0,0,45,1,0
60,1,173960,13,13,2,0,1,0,0,0,42,1,0
21,1,205759,10,9,0,3,1,1,0,0,40,1,0
57,4,425161,14,14,1,1,1,1,15024,0,40,1,1
41,1,220531,12,15,1,1,1,1,0,0,60,1,1
50,1,176609,11,10,2,0,1,1,0,0,45,1,0
25,1,371987,13,13,0,0,1,0,0,0,40,1,0
50,1,193884,3,4,1,1,1,1,0,0,40,18,0
36,1,200352,13,13,1,1,1,1,0,0,45,1,0
31,1,127595,10,9,2,0,1,0,0,0,40,1,0
29,5,220419,13,13,0,0,1,1,0,0,56,1,0
21,1,231931,11,10,0,3,1,1,0,0,45,1,0
27,1,248402,13,13,0,4,2,0,0,0,40,1,0
65,1,111095,10,9,1,1,1,1,0,0,16,1,0
37,6,57424,13,13,2,0,1,0,0,0,60,1,0
39,0,157443,14,14,1,2,3,0,3464,0,40,0,0
24,1,278130,10,9,0,3,1,1,0,0,40,1,0
38,1,169469,10,9,2,0,1,1,0,0,80,1,0
48,1,146268,13,13,1,1,1,1,7688,0,40,1,1
21,1,153718,11,10,0,0,3,0,0,0,25,1,0
31,1,217460,10,9,1,1,1,1,0,0,45,1,1
55,1,238638,10,9,1,1,1,1,4386,0,40,1,1
24,1,303296,11,10,1,2,3,0,0,0,40,31,0
43,1,173321,10,9,2,0,1,0,0,0,40,1,0
26,1,193945,8,12,0,0,1,1,0,0,45,1,0
46,1,83082,8,12,0,0,1,0,0,0,33,1,0
35,1,193815,8,12,1,1,1,1,0,0,40,1,1
41,6,34987,11,10,1,1,1,1,0,0,54,1,1
26,1,59306,13,13,0,0,1,1,0,0,40,1,0
34,1,142897,14,14,1,1,3,1,7298,0,35,6,1
19,0,860348,11,10,0,3,2,0,0,0,25,1,0
36,2,205607,13,13,2,0,2,0,0,0,40,1,1
22,1,199698,11,10,0,3,1,1,0,0,15,1,0
24,1,191954,11,10,0,0,1,1,0,0,40,1,0
77,2,138714,11,10,1,1,1,1,0,0,40,1,0
22,1,399087,2,3,1,5,1,0,0,0,40,4,0
29,1,423158,11,10,0,0,1,0,0,0,40,1,0
62,1,159841,10,9,6,0,1,0,0,0,24,1,0
39,2,174308,10,9,1,1,1,1,0,0,40,1,0
43,1,50356,11,10,1,1,1,1,0,1485,50,1,0
35,1,186110,10,9,2,0,1,1,0,0,45,1,0
29,1,200381,6,7,0,0,1,0,0,0,40,1,0
76,2,174309,14,14,1,1,1,1,0,0,10,1,0
63,2,78383,10,9,1,1,1,1,0,0,45,1,0
23,0,211601,9,11,0,3,2,0,0,0,15,1,0
43,1,187728,11,10,1,2,1,0,0,1887,50,1,1
58,2,321171,10,9,1,1,1,1,0,0,40,1,0
66,1,127921,10,9,0,0,1,1,2050,0,55,1,0
41,1,206565,11,10,0,0,2,1,0,0,45,1,0
26,1,224563,13,13,0,0,1,1,0,0,40,1,0
47,1,178686,9,11,0,0,1,1,0,0,40,1,0
55,5,98545,5,6,1,1,1,1,0,0,40,1,0
53,1,242606,10,9,1,1,1,1,0,0,40,1,0
17,1,270942,2,3,0,5,1,1,0,0,48,4,0
30,1,94235,10,9,0,5,1,1,0,0,40,1,0
49,1,71195,14,14,0,0,1,1,0,0,60,1,0
19,1,104112,10,9,0,4,2,1,0,0,30,24,0
45,1,261192,10,9,1,1,2,1,0,0,40,1,0
26,1,94936,8,12,0,0,1,1,0,0,40,1,0
38,1,296478,9,11,1,1,1,1,7298,0,40,1,1
36,3,119272,10,9,1,1,1,1,7298,0,40,1,1
33,1,85043,10,9,0,0,1,1,0,0,20,1,0
22,3,293364,11,10,0,3,2,0,0,0,40,1,0
43,2,241895,13,13,0,0,1,1,0,0,42,1,0
67,0,36135,6,7,1,1,1,1,0,0,8,1,0
30,0,151989,9,11,2,4,1,0,0,0,40,1,0
56,1,101128,8,12,3,0,1,1,0,0,25,28,0
31,1,156464,13,13,0,3,1,1,0,0,25,1,0
33,1,117963,13,13,1,1,1,1,0,0,40,1,1
26,1,192262,10,9,1,1,1,1,0,0,40,1,0
33,1,111363,13,13,1,1,1,1,0,0,40,1,1
46,5,329752,6,7,1,1,1,1,0,0,30,1,0
59,0,372020,13,13,1,1,1,1,0,0,40,1,1
38,4,95432,10,9,1,1,1,1,0,0,40,1,1
65,1,161400,6,7,6,4,0,1,0,0,40,1,0
40,1,96129,9,11,1,1,1,1,0,0,40,1,1
42,1,111949,10,9,1,2,1,0,0,0,35,1,0
26,2,117125,4,5,1,1,1,1,0,0,40,11,0
36,1,348022,5,6,1,2,1,0,0,0,24,1,0
62,1,270092,14,14,1,1,1,1,0,0,40,1,1
43,1,180609,13,13,1,1,1,1,0,0,45,1,0
43,1,174575,13,13,2,0,1,1,0,1564,45,1,1
22,1,410439,10,9,3,0,1,1,0,0,55,1,0
28,1,92262,10,9,1,1,1,1,0,0,40,1,0
56,2,183081,11,10,1,1,1,1,0,0,45,1,0
22,1,362589,8,12,0,0,1,0,0,0,15,1,0
57,1,212448,13,13,2,0,1,0,0,0,45,1,1
39,1,481060,10,9,2,4,1,0,0,0,40,1,0
26,4,185885,11,10,0,4,1,0,0,0,15,1,0
17,1,89821,6,7,0,3,1,1,0,0,10,1,0
40,3,184018,9,11,1,1,1,1,0,0,38,1,1
45,1,256649,10,9,1,1,2,1,0,0,40,1,0
44,1,160323,10,9,0,0,2,1,0,0,40,1,0
20,5,350845,11,10,0,3,1,0,0,0,10,1,0
33,1,267404,10,9,1,2,1,0,0,0,40,1,0
23,1,35633,11,10,0,0,1,1,0,0,40,1,0
46,2,80914,14,14,2,0,1,1,0,0,30,1,0
38,1,172927,10,9,1,1,1,1,0,0,50,1,0
54,1,174319,10,9,2,0,1,1,0,0,40,1,0
46,1,214955,2,3,2,0,1,0,0,2339,45,1,0
25,1,344991,11,10,1,1,1,1,0,0,40,1,0
46,1,108699,11,10,2,0,1,0,0,0,40,1,0
36,5,117312,11,10,1,2,1,0,0,0,40,1,0
23,1,396099,10,9,0,0,1,0,0,0,25,1,0
29,1,134152,10,9,4,0,1,1,0,0,40,1,0
44,1,162028,11,10,1,2,1,0,0,2415,6,1,1
19,1,25429,11,10,0,3,1,0,0,0,16,1,0
19,1,232392,10,9,0,5,1,0,0,0,40,1,0
35,1,220098,10,9,1,2,1,0,0,0,40,1,1
27,1,301302,13,13,0,0,1,1,0,0,50,1,0
46,2,277946,8,12,4,0,1,1,0,0,40,1,0
34,3,98101,13,13,1,1,1,1,7688,0,45,0,1
34,1,196164,10,9,0,0,1,0,0,0,35,1,0
44,1,115562,11,10,1,1,1,1,0,0,40,1,0
45,1,96975,11,10,2,4,1,0,0,0,40,1,0
20,0,137300,10,9,0,5,1,0,0,0,35,1,0
25,1,86872,13,13,1,1,1,1,0,0,55,1,1
52,6,132178,13,13,1,1,1,1,0,0,50,1,1
20,1,416103,11,10,0,3,1,1,0,0,40,1,0
28,1,108574,11,10,0,0,1,0,0,0,40,1,0
50,3,288353,13,13,1,1,1,1,0,0,40,1,1
34,1,227689,9,11,2,0,1,0,0,0,64,1,0
28,1,166481,3,4,1,1,0,1,0,2179,40,36,0
41,1,445382,14,14,1,1,1,1,0,1977,65,1,1
28,1,110145,10,9,1,1,1,1,0,0,40,1,0
46,2,317253,10,9,1,1,1,1,0,0,25,1,0
28,0,123147,11,10,1,2,1,0,0,1887,40,1,1
32,1,364657,11,10,1,1,1,1,0,0,50,1,0
41,5,42346,11,10,2,0,2,0,0,0,24,1,0
24,1,241951,10,9,0,4,2,0,0,0,40,1,0
33,1,118500,11,10,2,4,1,0,0,0,40,1,0
46,1,188386,15,16,1,1,1,1,15024,0,60,1,1
31,3,1033222,11,10,1,1,1,1,0,0,40,1,0
35,1,92440,7,8,2,0,1,1,0,0,50,1,1
52,1,190762,1,2,1,1,1,1,0,0,40,4,0
30,1,426017,6,7,0,3,1,0,0,0,19,1,0
34,5,243867,6,7,4,0,2,1,0,0,40,1,0
34,3,240283,10,9,2,4,1,0,0,0,40,1,0
20,1,61777,11,10,1,1,1,1,0,0,30,1,0
17,1,175024,6,7,0,3,1,1,2176,0,18,1,0
32,3,92003,13,13,1,2,1,0,0,0,40,1,1
29,1,188401,10,9,2,0,1,1,0,0,40,1,0
33,1,228528,5,6,0,4,1,0,0,0,35,1,0
25,1,133373,10,9,1,1,1,1,0,0,60,1,0
36,4,255191,14,14,0,0,1,1,0,1408,40,1,0
23,1,204653,10,9,0,0,1,1,0,0,72,8,0
63,6,222289,10,9,1,1,1,1,0,0,40,1,1
47,5,287480,14,14,1,1,1,1,0,0,40,1,0
80,0,107762,10,9,6,0,1,1,0,0,24,1,0
17,0,202521,6,7,0,3,1,1,0,0,40,1,0
40,2,204116,13,13,3,0,1,0,2174,0,40,1,0
30,1,29662,8,12,1,2,1,0,0,0,25,1,1
27,1,116358,11,10,0,3,3,1,0,1980,40,35,0
33,1,208405,14,14,1,1,1,1,0,0,50,1,1
34,5,284843,10,9,0,0,2,1,594,0,60,1,0
34,5,117018,11,10,0,0,1,0,0,0,40,1,0
23,1,81281,11,10,1,1,1,1,0,0,40,1,0
42,5,340148,11,10,1,2,1,0,0,0,40,1,0
29,1,363425,13,13,0,0,1,1,0,0,40,1,0
45,1,45857,10,9,2,0,1,0,0,0,28,1,0
24,4,191073,10,9,0,3,1,1,0,0,40,1,0
44,1,116632,11,10,1,1,1,1,0,0,40,1,1
27,1,405855,4,5,0,5,1,1,0,0,40,4,0
20,1,298227,11,10,0,0,1,1,0,0,35,1,0
44,1,290521,10,9,6,4,2,0,0,0,40,1,0
51,1,56915,10,9,1,1,4,1,0,0,40,1,0
20,1,146538,10,9,1,1,1,1,0,0,40,1,0
17,0,258872,6,7,0,3,1,0,0,0,5,1,0
19,1,206399,10,9,0,3,2,0,0,0,40,1,0
45,6,197332,11,10,1,1,1,1,0,0,55,1,1
60,1,245062,10,9,1,1,1,1,0,0,40,1,1
42,1,197583,8,12,1,1,2,1,0,0,40,0,1
44,2,234885,10,9,1,2,1,0,0,0,40,1,1
40,1,72887,9,11,1,1,3,1,0,0,40,1,1
30,1,180374,10,9,1,2,1,0,0,0,40,1,0
38,1,351299,11,10,1,1,2,1,0,0,50,1,0
23,1,54012,10,9,1,1,1,1,0,0,60,1,0
32,0,115745,11,10,1,1,1,1,0,0,40,1,0
44,1,116632,8,12,0,3,1,1,0,0,40,1,0
54,5,288825,10,9,1,1,2,1,0,0,40,1,0
32,1,132601,13,13,1,1,1,1,0,0,50,1,0
50,1,193374,1,2,3,4,1,1,0,0,40,1,0
24,1,170070,13,13,0,0,1,0,0,0,20,1,0
37,1,126708,10,9,1,2,1,0,0,0,60,1,0
52,1,35598,10,9,2,4,1,1,0,0,40,1,0
38,1,33983,11,10,1,1,1,1,0,0,40,1,0
49,1,192776,14,14,1,1,1,1,0,1977,45,1,1
30,1,118551,13,13,1,2,1,0,0,0,16,1,1
60,1,201965,11,10,0,4,1,1,0,0,40,1,1
22,0,139883,11,10,0,3,1,1,0,0,40,1,0
35,1,285020,10,9,0,0,1,1,0,0,40,1,0
30,1,303990,10,9,0,0,1,1,0,0,60,1,0
67,1,49401,9,11,2,0,1,0,0,0,24,1,0
46,1,279196,13,13,0,0,1,0,0,0,40,1,0
